feature,importance
HeavyAtoms,0.02855225305492219
MolWt,0.026036311917447402
FracCSP3,0.0209190759621025
Morgan_1480,0.01797533206650907
LogP,0.015676253552808755
Morgan_926,0.013911359460891302
AliphRings,0.010674078410814566
Morgan_1019,0.009020874699455799
Morgan_1791,0.00838431241282047
Morgan_935,0.008209677044536054
TPSA,0.008118131521164508
Morgan_1816,0.007040404039991327
Morgan_1145,0.006921663501811732
RotBonds,0.005871427209738497
Morgan_222,0.005760841266467461
Morgan_1325,0.00571107065546853
Morgan_1482,0.005609967212054484
Morgan_675,0.004845313216769597
AromRings,0.004602827434365801
Morgan_1516,0.004424363550772887
Morgan_231,0.004359794492205587
Morgan_1060,0.004221123405020744
Morgan_80,0.004057142548910921
Morgan_561,0.0036241056597439716
Morgan_114,0.0031934260828568404
HBA,0.0030585785571643222
Morgan_1928,0.002924085495934543
Morgan_650,0.0029202780726417144
Morgan_1236,0.002870686941158786
Morgan_1683,0.0028106649907732985
Morgan_1993,0.0027228638593553714
Morgan_482,0.0026682308435573314
Morgan_366,0.002547296512119833
Morgan_1116,0.0024662839365025445
Morgan_191,0.0023595140866518975
Morgan_1771,0.0023228887271395616
Morgan_1057,0.002231676650543016
Morgan_1917,0.0021752285890934042
Morgan_694,0.002143156390834516
Morgan_750,0.0020436833485032854
Morgan_1911,0.0020204992616909903
Morgan_1508,0.002013148936630669
Morgan_610,0.0019993950388606596
Morgan_1,0.00195687410475305
Morgan_656,0.0019161316771276493
Morgan_1716,0.0018406746694326435
Morgan_29,0.0016952199581853119
Morgan_41,0.001679157829691229
Morgan_378,0.0016518454849726175
Morgan_807,0.0016130336940446083
Morgan_875,0.0015285742822558793
Morgan_1627,0.001457101045456393
Morgan_1359,0.0014346379295810572
Morgan_1738,0.0014146755096653876
Morgan_1567,0.0014091131504660862
Morgan_1453,0.0014076912964722083
HBD,0.0013951874073838428
Morgan_489,0.0013924492625615678
Morgan_653,0.0013841362081804867
Morgan_1027,0.0013791918804509304
Morgan_1859,0.0013592326120661247
Morgan_1162,0.0013553151076110548
Morgan_998,0.0013525195683847448
Morgan_1274,0.0012936844695638475
Morgan_1261,0.0012850772394653843
Morgan_834,0.0012828359093753163
Morgan_621,0.001266826444800444
Morgan_1152,0.0012225874463023417
Morgan_407,0.001198463672879599
Morgan_843,0.0011847974700270134
Morgan_864,0.00115364359542357
Morgan_314,0.0011454952095235075
Morgan_385,0.0011145862352904565
Morgan_980,0.00111135779715557
Morgan_816,0.0011004440140185022
Morgan_591,0.0010828502929059816
Morgan_652,0.0010791410008628613
Morgan_680,0.0010724619583773114
Morgan_1754,0.0009732840039232414
Morgan_879,0.0009606227975925476
Morgan_395,0.00095582436501228
Morgan_1308,0.0009296719692610386
Morgan_58,0.0009082662571623843
Morgan_162,0.0009062961684974594
Morgan_74,0.000904082398924823
Morgan_1602,0.0008958217155155121
Morgan_1238,0.0008770379508568559
Morgan_1039,0.0008743009852028888
Morgan_305,0.0008707377664342168
Morgan_79,0.0008707224155980206
Morgan_1631,0.0008704359736157733
Morgan_1312,0.0008590908220936666
Morgan_165,0.0008559891868085145
Morgan_1199,0.0008558729241536407
Morgan_1114,0.0008387675697344542
Morgan_392,0.0008348904192018075
Morgan_1810,0.0008239116713781267
Morgan_1632,0.0008226709444505414
Morgan_739,0.0008181669391949046
Morgan_1171,0.0008110967847940817
Morgan_725,0.0008085955738676651
Morgan_283,0.0007990950282621515
Morgan_682,0.0007956860201404243
Morgan_1108,0.000782531188775344
Morgan_1214,0.0007808937301526742
Morgan_45,0.0007700873226148489
Morgan_1452,0.0007630447425660878
Morgan_708,0.0007565558803126214
Morgan_1385,0.0007501051390426645
Morgan_1163,0.0007266424655792626
Morgan_1604,0.0007142702574996096
Morgan_1689,0.0006950029947554395
Morgan_361,0.0006893698041646888
Morgan_893,0.000682581185199903
Morgan_117,0.0006787361459053602
Morgan_1970,0.0006614249410853577
Morgan_1322,0.0006606847780526043
Morgan_2009,0.0006599545872699956
Morgan_794,0.0006594696366369844
Morgan_216,0.0006558347493945194
Morgan_1070,0.0006552058605820476
Morgan_1410,0.0006537769187037199
Morgan_1991,0.0006508411409879395
Morgan_1444,0.0006412068008963233
Morgan_881,0.0006389760634349169
Morgan_1648,0.000627272100856526
Morgan_667,0.0006219332544133575
Morgan_1847,0.0006191656462318458
Morgan_369,0.0006019727372234121
Morgan_1617,0.0005976162693140728
Morgan_1209,0.0005971839246624799
Morgan_1243,0.0005873981672745206
Morgan_1888,0.000583653959278326
Morgan_1476,0.0005832386181110361
Morgan_1545,0.0005806995504201248
Morgan_1428,0.0005744948521876224
Morgan_1487,0.0005688303559472121
Morgan_227,0.0005677775449410258
Morgan_1295,0.0005666622971875761
Morgan_294,0.0005616773039898589
Morgan_1998,0.0005599135301807512
Morgan_1905,0.0005577957274301548
Morgan_1028,0.0005554155915461553
Morgan_486,0.0005534863204549693
Morgan_1750,0.000552462815579633
Morgan_523,0.0005492546700330108
Morgan_1088,0.0005474299739980276
Morgan_207,0.0005398161665822236
Morgan_1980,0.0005364867795553681
Morgan_1978,0.0005258481287351472
Morgan_1309,0.0005236754452557058
Morgan_1696,0.0005229090885359521
Morgan_350,0.0005179247202918363
Morgan_1855,0.0005130238056627281
Morgan_409,0.0005124905151175064
Morgan_1541,0.0005031720541884152
Morgan_1035,0.0004977239760161062
Morgan_1747,0.00048543611123146475
Morgan_896,0.0004836259535278386
Morgan_1607,0.00048138099798283505
Morgan_1047,0.00048111986451915696
Morgan_928,0.0004810605656246332
Morgan_1530,0.00048093073866377047
Morgan_249,0.00046854236362178596
Morgan_401,0.0004647024642347726
Morgan_1803,0.00046245400257704595
Morgan_1563,0.0004516287806950118
Morgan_1862,0.00044749241667342863
Morgan_1004,0.00043490380929700186
Morgan_1811,0.0004331275693535692
Morgan_1417,0.0004229968430220442
Morgan_1430,0.00041657280962196895
Morgan_695,0.00041582360778596414
Morgan_1572,0.00041010152209316184
Morgan_1660,0.0004091400183185079
Morgan_389,0.0004060846254085662
Morgan_786,0.0004033140728615282
Morgan_1724,0.00039840408588210095
Morgan_1990,0.0003917071823447835
Morgan_1761,0.0003915896543078451
Morgan_190,0.00038697793485421107
Morgan_184,0.0003843950881820345
Morgan_455,0.00038183606690816627
Morgan_1160,0.00038142614335390674
Morgan_857,0.0003778849438926378
Morgan_411,0.0003759229283703121
Morgan_2039,0.0003740985503318215
